fid,CMAUID,CMAPUID,CMANAME,CMATYPE,PRUID,PRNAME,F_20_to_24sum,F_5_to_9sum,M_15_to_19sum,M_10_to_14sum,F_10_to_14sum,M_35_to_39sum,M_20_to_24sum,F_1_to_4sum,F_30_to_34sum,M_30_to_34sum,F_15_to_19sum,M_25_to_29sum,M_0_to_1sum,F_25_to_29sum,M_1_to_4sum,M_5_to_9sum,F_35_to_39sum,F_0_to_1sum,Area
"62","610","46610",Brandon,D,"46",Manitoba,1981.92826335784,1739.87856210774,1844.09646401758,1803.59307088564,1703.82823624323,1835.40838978262,2120.36003092036,1386.10505438449,2105.44352878814,2041.57716968029,1771.42949978935,2068.34667242055,406.263397897606,2118.00636196129,1565.65429505577,1978.3682083815,1965.07243708507,304.468595468519,232418.398003818
"63","640","46640",Thompson,D,"46",Manitoba,450.717513251869,395.672109537855,419.372682062702,410.161658316403,387.473773450752,417.396895223086,482.198785027843,315.219190125182,478.806569139205,464.282486329261,402.847223419894,470.370237372805,92.3898364674558,481.663528121422,356.051136050273,449.907908105035,446.884268409762,69.240310281295,2243.11500130248
"64","705","47705",Regina,B,"47",Saskatchewan,7996.76705355619,6515.99762238266,7515.4753865615,6196.05117666814,7092.65565343771,6991.1293230009,8485.31857797809,5021.83978311848,7263.48088289716,7653.36934383903,6594.5574786225,8184.36100957649,1505.35018845458,7902.38553595113,5354.10361994409,7511.31271008659,7656.3765294344,1162.57978910408,440886.411545945
"65","710","47710",Yorkton,D,"47",Saskatchewan,651.047300346371,530.492214869983,611.863510494851,504.444153995855,577.440143981587,569.174497001095,690.822142755345,408.847127324936,591.347677511766,623.08998360746,536.888071127882,666.320038671097,122.556299147527,643.363340833942,435.897992742936,611.524610739101,623.334809678014,94.6500540591715,87070.4284204707
"66","715","47715",Moose Jaw,D,"47",Saskatchewan,1237.37341050059,1008.24772835606,1162.90112665609,958.741067643928,1097.47645229367,1081.76685502713,1312.9690433489,777.050398364442,1123.90895586067,1184.23804022701,1020.40362435064,1266.40061274421,232.929168258728,1222.76936210988,828.462979118409,1162.25701891782,1184.70335343619,179.890862145445,85442.7353854415
"67","720","47720",Swift Current,D,"47",Saskatchewan,631.350389010066,514.442599442426,593.352073302282,489.182602397208,559.970156967857,551.954581558272,669.921874331782,396.477786282361,573.456929294468,604.238897824861,520.64495566858,646.161063807387,118.848457114357,623.898901290756,422.71025059166,593.023426098041,604.476317013457,91.7864926615187,114035.905956561
"68","725","47725",Saskatoon,B,"47",Saskatchewan,10198.5627323024,8310.08457494204,9584.75427483201,7902.04543816196,9045.51716445518,8916.03700255779,10821.6299427365,6404.53169951664,9263.37668164027,9760.61536367881,8410.27476557818,10437.8080122688,1919.82687821903,10078.1946103712,6828.27964106019,9579.4454646372,9764.45053323193,1482.67954200752,621850.525016128
"69","735","47735",North Battleford,D,"47",Saskatchewan,676.506360496163,551.236994399128,635.790298376688,524.170330226916,600.020812058453,591.431940285186,717.83659001066,424.835003218908,614.472196475458,647.455779700063,557.882960093702,692.376336634056,127.348836213788,668.521921057317,452.943686704932,635.438144518981,647.710179089043,98.3513234001487,90121.0251065159
"70","745","47745",Prince Albert,D,"47",Saskatchewan,1623.30003434542,1322.71192990747,1525.60045631007,1257.76454777757,1439.77036046905,1419.16106834529,1722.47332741986,1019.40604831327,1474.44694885987,1553.59217697464,1338.65915188273,1661.38058533794,305.577866405817,1604.14110349161,1086.85379317476,1524.75545353981,1554.20261845691,235.997347431525,266580.26490214
"71","750","47750",Estevan,D,"47",Saskatchewan,488.667581132161,398.180511220162,459.256741689233,378.629178848447,433.419013127019,427.214926794097,518.52205733738,306.875301319586,443.857824578415,467.683183895937,402.981158625659,500.131099053809,91.989153943886,482.900101527999,327.179327208818,459.002367705168,467.866948315716,71.0430915989129,84744.9729834401
