fid,admin0Name,admin0Pcod,admin1Name,admin1Pcod,admin2Name,admin2Pcod,admin2RefN,admin2AltN,admin2Al_1,date,validOn,validTo,Shape_Leng,Shape_Area,Area,F_25_to_29sum,M_0_to_1sum,M_15_to_19sum,F_5_to_9sum,F_10_to_14sum,F_20_to_24sum,F_1_to_4sum,F_35_to_39sum,F_15_to_19sum,M_1_to_4sum,M_35_to_39sum,M_5_to_9sum,F_30_to_34sum,M_25_to_29sum,M_20_to_24sum,F_0_to_1sum,M_10_to_14sum,M_30_to_34sum
"483",Colombia,CO,Antioquia,CO05,Montebello,CO05467,Montebello,,,2009/01/01,2014/10/29,,0.577646232245,0.00780261824691,9554.26018549708,393.890470622573,82.9901492573554,444.244031001581,400.149856200442,429.936593469232,429.792830246966,310.148369875504,383.604636064032,444.678912498755,325.132937558694,338.660693014273,417.089153606445,353.559348577634,359.201454620808,406.501423354493,78.9627171106404,447.218217927963,313.673376890831
"484",Colombia,CO,BoyacÃ¡,CO15,Cerinza,CO15162,Cerinza,,,2009/01/01,2014/10/29,,0.320575376985,0.00511776277599,6266.32906797309,163.75182114495,42.262520541728,218.603714517783,206.084363453789,214.155365419574,183.409149596468,156.59613286145,155.195807860233,203.559545277385,165.573121239664,147.233375302982,216.351645448245,155.395767308539,166.098267273046,185.776226721471,39.8688449953333,225.480279779993,150.982012848835
"485",Colombia,CO,Antioquia,CO05,Venecia,CO05861,Venecia,,,2009/01/01,2014/10/29,,0.550609632369,0.00599955738372,7345.85300181489,392.733030774165,82.7462842500536,442.938628259115,398.974023139104,428.673232291359,428.529892280232,309.237004620023,382.477420685347,443.372231682763,324.177540418226,337.665544762742,415.863544980064,352.520421251189,358.145947428886,405.306926433463,78.7306865776191,445.904075539671,312.751653760672
"486",Colombia,CO,ChocÃ³,CO27,Nuqui,CO27495,Nuqui,,,2009/01/01,2014/10/29,,2.38251967801,0.0580385364629,71099.1226615425,294.475600828941,110.576827970013,460.52146433806,433.195436272537,449.074740162119,362.688184138271,418.020482218591,230.613018719014,433.173281424562,433.210057348129,202.552449900773,458.001006412669,244.047216040024,271.53784263425,351.283955919964,106.426596592239,468.140931973583,215.983564018621
"487",Colombia,CO,BoyacÃ¡,CO15,Paipa,CO15516,Paipa,,,2009/01/01,2014/10/29,,1.19695303106,0.0314464741942,38512.3803290304,1090.28946356708,281.434449204709,1455.65470403573,1372.3603319258,1426.06073026732,1221.18923706887,1042.80471192894,1033.32787727867,1355.4277788857,1102.58402914752,980.3404759845,1440.72905303747,1034.67679570068,1105.96856243024,1236.98204663722,265.49454752024,1501.47775911004,1005.32479929237
"488",Colombia,CO,Antioquia,CO05,Fredonia,CO05282,Fredonia,,,2009/01/01,2014/10/29,,0.792447435979,0.0183065782175,22417.7299695739,870.258566348813,183.357795500895,981.509334721602,884.088004076388,949.898592055775,949.580962981097,685.239415243734,847.533122551627,982.470158484299,718.346203321591,748.234322164673,921.513557549566,781.151296384633,793.616921881679,898.121107691433,174.459617813816,988.08047976112,693.027538469527
"489",Colombia,CO,Antioquia,CO05,San Francisco,CO05652,San Francisco,,,2009/01/01,2014/10/29,,1.13235444454,0.0286995074721,35145.6157947809,272.342930647079,57.3808765635185,307.158285014564,276.670781997731,297.265866068192,297.166465727612,214.44214141462,265.231120237848,307.458969887346,224.802740063518,234.156072714017,288.382915931754,244.457270206185,248.358323246706,281.062369454186,54.596237764461,309.214690894354,216.879394556861
"490",Colombia,CO,Santander,CO68,Barbosa,CO68077,Barbosa,,,2009/01/01,2014/10/29,,0.281547428269,0.00367217454508,4496.35628633225,1092.3580189012,227.075221140869,1264.7057861723,1102.21951200999,1204.40844642743,1200.85160220787,841.108951512724,1027.72399566509,1241.22258548066,889.61924129352,938.893038131297,1161.39193323441,1006.60981199145,1036.34654549882,1175.23180298135,214.143483997788,1262.45195543766,931.655542684719
"491",Colombia,CO,BoyacÃ¡,CO15,Duitama,CO15238,Duitama,,,2009/01/01,2014/10/29,,0.842368203467,0.017630307766,21590.0352584082,4206.98827957036,1085.99026893626,5616.95504885213,5295.624672045,5502.79059879156,4712.09763362864,4023.94178006449,3987.20305431937,5230.15242497902,4254.61605539662,3782.77724340209,5559.44020594074,3992.42762493342,4267.55030871509,4773.07195919286,1024.48194688855,5793.80987938144,3879.20990251238
"492",Colombia,CO,BoyacÃ¡,CO15,Tasco,CO15790,Tasco,,,2009/01/01,2014/10/29,,0.803364598251,0.0171846994503,21044.330243901,265.836675102357,68.6231289621792,354.932049488183,334.627630433766,347.718164356891,297.754249670077,254.270672766143,251.948620387004,330.49004077143,268.846852961346,239.031196633005,351.297977724345,252.278821492335,269.663751726039,301.607292876346,64.7364520130213,366.107520579826,245.124801271828
"493",Colombia,CO,BoyacÃ¡,CO15,Togui,CO15816,Togui,,,2009/01/01,2014/10/29,,0.492749762825,0.00846173841584,10361.5372059032,180.42626188579,46.5535507899476,240.819627495017,227.007526653819,235.91135919746,202.080106034875,172.495707024122,170.99729432934,224.261006854475,182.384216737002,162.215955886524,238.318184057251,171.212516965112,182.995364940027,204.678812115453,43.9168227383052,248.385486467276,166.338984869421
"494",Colombia,CO,Antioquia,CO05,Santa BÃ¡rbara,CO05679,Santa Barbara,,,2009/01/01,2014/10/29,,0.745878392797,0.0148359341407,18168.2184132728,924.021102547646,194.685210625292,1042.14468294568,938.704890715424,1008.58110204199,1008.2438509455,727.571901659947,899.891733711585,1043.16486386117,762.723949701991,794.458486317191,978.442507041153,829.408994856756,842.644716750365,953.604926746804,185.237324507674,1049.12177771283,735.841157198884
"495",Colombia,CO,Santander,CO68,Guavata,CO68324,Guavata,,,2009/01/01,2014/10/29,,0.439356655097,0.00614287516609,7521.79324439669,183.775776637718,38.1817944028298,212.697716516908,185.331436326727,202.541812034789,202.019895331934,141.4289911245,172.899030600674,208.776128337719,149.585933742346,157.940764124738,195.282930939458,169.338311010506,174.325342691969,197.693966219667,36.007341020857,212.300275451038,156.710909389891
"496",Colombia,CO,BoyacÃ¡,CO15,San Rosa Viterbo,CO15693,San Rosa Viterbo,,,2009/01/01,2014/10/29,,0.635081660116,0.00882136692644,10802.5900599906,387.610437475378,100.056474919722,517.513601657236,487.906235428294,506.994441797724,434.148170770146,370.741280929651,367.360392572125,481.877161929617,391.994198228698,348.524906948907,512.212661253754,367.841296560364,393.188840179006,439.765182489064,94.3894742869888,533.80711327563,357.409056927077
"497",Colombia,CO,BoyacÃ¡,CO15,Beteitiva,CO15092,Beteitiva,,,2009/01/01,2014/10/29,,0.482692723435,0.00832376738497,10192.578279852,95.47555617732,24.6460778929759,127.474265221972,120.181909188163,124.8833898413,106.938790801913,91.3216127641499,90.4876449033618,118.695888804737,96.5566650817636,85.848336880561,126.169084041147,90.606237008702,96.8500553010963,108.322615788784,23.2501732790261,131.487948924303,88.0368621915113
"498",Colombia,CO,Antioquia,CO05,Tarso,CO05792,Tarso,,,2009/01/01,2014/10/29,,0.759575404346,0.0154060134354,18865.7596428964,499.401103937067,105.220550531754,563.242769747972,507.337178184651,545.102827944327,544.920555518474,393.227178267203,486.360023647081,563.79414202366,412.225631513167,429.377039089799,528.813970659859,448.266567094717,455.420012282673,515.390126799699,100.114298349479,567.013645345345,397.696421821136
