fid,admin0Name,admin0Pcod,admin1Name,admin1Pcod,admin2Name,admin2Pcod,admin2RefN,admin2AltN,admin2Al_1,date,validOn,validTo,Shape_Leng,Shape_Area,F_20_to_24sum,F_5_to_9sum,M_15_to_19sum,M_10_to_14sum,F_10_to_14sum,M_35_to_39sum,M_20_to_24sum,F_1_to_4sum,F_30_to_34sum,M_30_to_34sum,F_15_to_19sum,M_25_to_29sum,M_0_to_1sum,F_25_to_29sum,M_1_to_4sum,M_5_to_9sum,F_35_to_39sum,F_0_to_1sum,Area
"662",Colombia,CO,BoyacÃ¡,CO15,Macanal,CO15425,Macanal,,,2009/01/01,2014/10/29,,0.685115788147,0.0161949877856,198.832485398278,204.88098138012,226.64974894328,226.376450383803,215.00568955671,182.27228106244,201.40543578635,150.980997214443,205.346633726265,199.523487497121,211.041763332905,201.875035611214,39.5305796697212,199.010005944408,159.636047535576,215.087651203852,192.122394785052,37.2916440136614,19861.2832485718
"663",Colombia,CO,ChocÃ³,CO27,Istmina,CO27361,Istmina,,,2009/01/01,2014/10/29,,4.55405339727,0.153126873693,1389.92773034063,1522.13477343228,1687.67692623823,1661.22557273868,1593.56798317516,886.406452177151,1346.22331709304,1424.46890080767,1140.01362027193,1008.9202938049,1587.45372093236,1166.59411536349,365.55790709531,1265.14045791101,1476.22970997839,1609.29498104879,1009.20466182492,351.837584892666,187857.725104063
"664",Colombia,CO,ChocÃ³,CO27,CondotÃ³,CO27205,Condoto,,,2009/01/01,2014/10/29,,1.84044957712,0.0882158007937,1295.23784692126,1393.23096972791,1547.78311688016,1525.06825324765,1461.80998600804,850.453477648713,1250.94879119826,1285.22480981748,1078.9067830214,957.430212907755,1461.36576718622,1099.3605020351,330.120427050664,1191.56611494711,1333.12280951726,1472.33176258847,967.026108020233,317.444902640629,108162.313506341
"665",Colombia,CO,Caldas,CO17,Neira,CO17486,Neira,,,2009/01/01,2014/10/29,,1.31354831205,0.0305018880289,1294.05096157081,1099.99368648918,1342.22026517452,1311.7933731568,1258.94519710075,1212.67373297876,1243.40254562336,785.557076614583,1301.33300571085,1208.51799350546,1327.97339755797,1231.99995155109,203.689433928565,1302.10259658657,822.557557489374,1171.64278087032,1364.44902476226,194.029161562605,37395.5099180595
"666",Colombia,CO,Cundinamarca,CO25,La PeÃ±a,CO25398,La Pena,,,2009/01/01,2014/10/29,,0.584538344132,0.0103445471524,290.059399583843,293.492288036272,306.193372649141,320.75148746022,305.629919945728,286.778987593949,300.397464521695,209.23035727907,308.902793270536,294.007266818546,296.272143786307,291.099882500246,54.2779173353338,297.449144666782,219.190117868013,307.08957187226,302.073115553474,51.6789819245751,12682.1156178105
"667",Colombia,CO,Risaralda,CO66,BelÃ©n de UmbrÃ­a,CO66088,Belen de Umbria,,,2009/01/01,2014/10/29,,0.587084499903,0.0146116701338,1122.92863573506,943.880005236715,1080.92480407888,1081.47793323873,1024.44277950516,993.261972429231,1047.24137584353,672.254080616869,1108.80477951746,1010.68234447064,1079.08386089886,1081.31575019518,175.879221924697,1165.14710207703,710.251779155806,990.246008975431,1116.74619591143,166.043802760891,17913.5276654241
"668",Colombia,CO,BoyacÃ¡,CO15,Chinavita,CO15172,Chinavita,,,2009/01/01,2014/10/29,,0.52074973867,0.0116660543792,147.380461043213,151.863783375593,167.999431388918,167.796854392625,159.368513610214,135.105552511755,149.287607152015,111.911536648171,152.208938436816,147.892651932081,156.430335335666,149.635688416893,29.30122329609,147.512044431409,118.326913383091,159.429265861167,142.406745357439,27.6416586197738,14302.2917341565
"669",Colombia,CO,Cundinamarca,CO25,Tausa,CO25793,Tausa,,,2009/01/01,2014/10/29,,0.870614185002,0.0156604196332,381.69503545668,386.212443222757,402.926057375968,422.083375519607,402.184598667081,377.378275180236,395.29910480557,275.330462642713,406.491438944824,386.890114272945,389.870511299465,383.064228259493,71.4254101792467,391.419350710232,288.436713324394,404.105384055991,397.504127732944,68.0054184609908,19199.544638864
"670",Colombia,CO,Cundinamarca,CO25,Ãštica,CO25851,Utica,,,2009/01/01,2014/10/29,,0.618758887596,0.00707637150336,211.071832914837,213.569893765729,222.812280823244,233.406000457006,222.402264757315,208.684726792388,218.594686431577,152.253762768814,224.783885365585,213.944636045489,215.592752950033,211.828976697056,39.4972185152583,216.449238640722,159.501329603372,223.464431357104,219.814032238442,37.6060126140364,8675.55855768915
"671",Colombia,CO,Cundinamarca,CO25,ChocontÃ¡,CO25183,Choconta,,,2009/01/01,2014/10/29,,1.06174678217,0.0245107102115,1071.13581227232,1083.81283618021,1130.71559732361,1184.4760274617,1128.63486994896,1059.02185719972,1109.31237804424,772.649081718642,1140.72098699445,1085.71455863444,1094.07833014475,1074.97812425043,200.438328043907,1098.42477714922,809.428639510181,1134.025094843,1115.50024851272,190.840939419926,30053.359321706
