fid,ADM0_EN,ADM0_FR,ADM0_RW,ADM0_SW,ADM0_PCODE,ADM1_EN,ADM1_FR,ADM1_RW,ADM1_PCODE,ADM2_EN,ADM2_PCODE,ADM3_EN,ADM3_PCODE,ADM3ALT1EN,F_20_to_24sum,F_5_to_9sum,M_15_to_19sum,M_10_to_14sum,F_10_to_14sum,M_35_to_39sum,M_20_to_24sum,F_1_to_4sum,F_30_to_34sum,M_30_to_34sum,F_15_to_19sum,M_25_to_29sum,M_0_to_1sum,F_25_to_29sum,M_1_to_4sum,M_5_to_9sum,F_35_to_39sum,F_0_to_1sum,Area
"129",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Kamonyi,RW28,Mugina,RW2805,,1904.10980017483,2586.42721547931,1882.85659686476,2175.09919590503,2042.73331603408,1447.69498830289,1913.13793580234,1972.82184510306,1719.60549765453,1549.87420205027,1868.71426895261,1832.50738538057,536.756195565686,1904.21189837158,2038.2012521103,2560.84626321495,1249.95307541639,513.86596159637,9041.76711287122
"130",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Kamonyi,RW28,Musambira,RW2806,,1691.97002594173,2352.07254913449,1824.9332524091,2071.94595448673,1954.87145145237,1110.99025606364,1569.89453864098,1572.15300646424,1473.13333255053,1286.6941518113,1752.42644871771,1378.73129685968,439.48241526261,1630.79559451342,1668.82778325677,2319.16521540284,1150.74895792454,409.502708207816,6370.25497588988
"131",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Kamonyi,RW28,Ngamba,RW2807,,798.801422998309,1020.7889495939,695.209489114583,814.554057441652,818.070480704308,379.778166580945,694.901969097555,664.549352616072,644.482473485172,459.920853428543,700.954493232071,584.357456043363,164.457391029224,648.127911247313,624.486966997385,1088.74832218885,449.633428417146,173.096857592463,3164.23128570867
"132",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Kamonyi,RW28,Nyamiyaga,RW2808,,2050.23479013145,2719.99625000358,2089.60018891096,2271.47749724984,2263.19446732104,1070.23833818734,1966.31124697626,1886.98905564845,1698.56702559441,1401.0129718557,2015.68008835614,1653.86856460571,536.378278084099,1963.80114226043,2036.7661536783,2752.70730686188,1492.57753177732,491.508842840791,7823.84006774951
"133",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Kamonyi,RW28,Nyarubaka,RW2809,,1342.12576131523,1802.85309119523,1280.74224095047,1505.72428950667,1447.31284832954,874.665317058563,1210.80572701991,1371.53409869969,1215.2002492249,1010.2931420058,1279.13761751354,1092.71209587157,369.268024023622,1260.3231896162,1402.20564766228,1942.75891497731,922.473486252129,357.246983043849,4734.34056993861
"134",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Kamonyi,RW28,Rugarika,RW2810,Rugalika,1843.11716584861,2579.03610163927,1926.35626666248,2183.09974853694,2113.88399286568,849.434199962765,1755.34978409111,1577.52972897142,1554.65410429239,1090.16102614999,1844.88903358579,1257.37854982913,436.022015880793,1787.49289277196,1655.68773723394,2622.88585853577,1289.46805292368,410.903187789023,7542.70487127405
"135",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Kamonyi,RW28,Rukoma,RW2811,,1734.29426169395,2507.17563803494,1722.86435715854,1935.07785153389,1810.27862283587,1022.97724112868,1580.45011356473,1567.00499612838,1466.98826230317,1289.59958257526,1630.78256443143,1380.94525898993,424.893649725243,1535.41069769114,1613.43046849966,2586.03176665306,1119.18152513355,408.161798343062,5195.02328298167
"136",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Kamonyi,RW28,Runda,RW2812,,1755.50715667009,2559.20263935626,1908.21930155158,2183.79854628444,2053.87801221013,1153.85468999296,1858.87788307667,1645.84822118282,1520.61066738516,1475.93300483376,1813.80563062429,1533.17110383511,442.728496927768,1720.96168272197,1681.15396338701,2661.23065315187,1124.7816631496,428.698293380439,5155.73039121493
"137",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Karongi,RW31,Bwishyura,RW3101,,1398.79161201417,1956.05661581457,1459.4596388489,1757.80533102155,1804.78306102753,1524.6008043699,1768.76201293617,1314.09977592528,1079.38307780027,2002.43774112314,1364.72650942951,2094.63555095345,364.7827849444,1387.34518494457,1385.17403964698,2030.04815118015,733.996019329876,342.286920512095,4655.23202561801
"138",Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Karongi,RW31,Gashari,RW3102,Gishari,931.043848194182,1604.70148262382,976.645918563008,1350.19172459841,1292.78768704832,454.261767044663,861.700179256499,946.551985107362,797.500999957323,582.575915489346,985.436329834163,802.608368821442,257.315458483994,894.488303557038,977.092933669686,1669.3911319375,557.538288667798,246.550816711038,5477.01034627062
