fid,Shape_Leng,Shape_Area,ADM4_EN,ADM4_PCODE,ADM4_REF,ADM4ALT1EN,ADM4ALT2EN,ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,date,validOn,validTo,F_25_to_29sum,F_15_to_19sum,M_15_to_19sum,F_1_to_4sum,M_0_to_1sum,F_0_to_1sum,M_30_to_34sum,M_10_to_14sum,F_10_to_14sum,M_35_to_39sum,F_20_to_24sum,M_5_to_9sum,M_1_to_4sum,F_30_to_34sum,M_20_to_24sum,F_5_to_9sum,F_35_to_39sum,M_25_to_29sum
"5093",0.0688061095268,0.000188509310088,Ward No-49,"30261649",,,,Dhanmondi,"302616",Dhaka,"3026",Dhaka,"30",Bangladesh,BD,2015/01/01,2018/04/10,,7856.80487155914,7167.17684650421,7682.68783855438,4067.96323108673,1052.46437346935,1013.63623595238,8230.87815284729,6027.25262832642,5669.2981877327,7206.75140476227,8963.66325283051,5333.01497650146,4221.04610967636,6017.53656959534,9460.68765163422,5043.01992225647,5281.3143901825,9681.26204872131
"5094",0.0332546724635,6.26273287151e-05,Ward No-50,"30263350",,,,Kalabagan,"302633",Dhaka,"3026",Dhaka,"30",Bangladesh,BD,2015/01/01,2018/04/10,,4266.62505531311,3892.1236782074,4172.07107925415,2209.10078907013,571.539056777954,550.453500747681,4469.76493263245,3273.08969497681,3078.70309638977,3913.61457824707,4867.7027053833,2896.08505821228,2292.23218917847,3267.81338882446,5137.61095046997,2738.6037311554,2868.00915527344,5257.39352416992
"5095",0.0287106515639,3.89613735625e-05,Ward No-51 (part),"30265051",,,,Mohammadpur,"302650",Dhaka,"3026",Dhaka,"30",Bangladesh,BD,2015/01/01,2018/04/10,,1530.79771709442,1396.43253326416,1496.87324523926,792.590488433838,205.059191226959,197.494026660919,1603.68110370636,1174.33291625976,1104.59007644653,1404.1431350708,1746.45488548279,1039.06960201263,822.416729927063,1172.43986988068,1843.29372882843,982.567791938782,1028.99641609192,1886.26981544495
"5096",0.0342662894525,5.40304000226e-05,Ward No-51 (Part),"30263351",,,,Kalabagan,"302633",Dhaka,"3026",Dhaka,"30",Bangladesh,BD,2015/01/01,2018/04/10,,2754.92140769958,2513.10924911499,2693.86875915527,1426.39649963379,369.037627220154,355.422874689102,2886.08699989319,2113.4045791626,1987.89090919495,2526.98573875427,3143.03184890747,1869.97607803345,1480.07370567322,2109.99772644043,3317.30918121338,1768.29179763794,1851.84770965576,3394.65171813965
"5097",0.0586212831812,0.000145230893166,Ward No-52,"30266352",,,,New Market,"302663",Dhaka,"3026",Dhaka,"30",Bangladesh,BD,2015/01/01,2018/04/10,,4866.69211339951,4439.52009057999,4758.83986091614,2519.79333472252,651.921502947807,627.870427906513,5098.4020113945,3733.4238615036,3511.69834280014,4464.03350353241,5552.30656147003,3303.39651966095,2614.61651396751,3727.40551424026,5860.17529678345,3123.76668834686,3271.37195205688,5996.80434036255
"5098",0.0619637945323,0.000154470257726,Ward No-53,"30266653",,,,Ramna,"302666",Dhaka,"3026",Dhaka,"30",Bangladesh,BD,2015/01/01,2018/04/10,,5548.00472569466,5061.03075551987,5425.05372285843,2872.55182766914,743.187262147665,715.769159793854,5812.15286254883,4256.08458375931,4003.31859946251,5088.97593355179,6329.60178852081,3765.85555434227,2980.64978778362,4249.22369456291,6680.57062292099,3561.07844638824,3729.34769940376,6836.32705259323
"5099",0.0502406827425,8.26853609748e-05,Ward No-54,"30266654",,,,Ramna,"302666",Dhaka,"3026",Dhaka,"30",Bangladesh,BD,2015/01/01,2018/04/10,,3498.41504383087,3191.34301662445,3420.88561916351,1811.35004472733,468.632891893387,451.343811273575,3664.97938632965,2683.76671218872,2524.37962436676,3208.96445941925,3991.26809501648,2374.64213705063,1879.51355028152,2679.44042682648,4212.57910251617,2245.51546669006,2351.62131309509,4310.79470920563
"5100",0.0347721187729,6.61824958063e-05,Ward No-55,"30266655",,,,Ramna,"302666",Dhaka,"3026",Dhaka,"30",Bangladesh,BD,2015/01/01,2018/04/10,,2610.90987968445,2381.73826885223,2553.04871559143,1351.83265590668,349.746453404427,336.843398571014,2735.21887874603,2002.92787647247,1883.97533798218,2394.88936901093,2978.73210811615,1772.22442150116,1402.70392227173,1999.69910907745,3143.89923858642,1675.85562324524,1755.04370117188,3217.19873523712
"5101",0.0773935262249,0.000247216501974,Ward No-56 (part),"30267556",,,,Shahbagh,"302675",Dhaka,"3026",Dhaka,"30",Bangladesh,BD,2015/01/01,2018/04/10,,6113.99445748329,5577.34092640877,5978.50035691261,3165.60039615631,819.004850029945,788.789639115334,6405.09011173248,4690.27674341202,4411.72437942028,5608.13698482513,6975.32754325867,4150.03609120846,3284.72615563869,4682.71593225002,7362.10108923912,3924.36827027798,4109.80385923386,7533.74730372429
"5102",0.0239654759825,5.66225662927e-06,Ward No-56 (Part),"30264256",,,,Lalbagh,"302642",Dhaka,"3026",Dhaka,"30",Bangladesh,BD,2015/01/01,2018/04/10,,636.935035705566,581.028308868408,622.819725036621,329.781425476074,85.3211255073547,82.1734085083008,667.260395050049,488.616996765137,459.598358154297,584.236526489258,726.66576385498,432.336574554443,342.191537857056,487.829334259033,766.958526611328,408.827270507812,428.145317077637,784.840034484863
"5103",0.0630103426868,0.000108666711149,Ward No-57,"30267557",,,,Shahbagh,"302675",Dhaka,"3026",Dhaka,"30",Bangladesh,BD,2015/01/01,2018/04/10,,4283.77968549728,3907.7725481987,4188.84553003311,2217.98281550407,573.837018072605,552.666683912277,4487.73632144928,3286.24965000153,3091.08152580261,3929.34986162186,4887.27402925491,2907.72923636436,2301.4484667778,3280.9521651268,5158.2675242424,2749.61470794678,2879.54043030739,5278.53170013428
"5104",0.0505687097675,0.000132034907917,Ward No-58,"30262858",,,,Hazaribagh,"302628",Dhaka,"3026",Dhaka,"30",Bangladesh,BD,2015/01/01,2018/04/10,,5152.21732330322,4699.98341560364,5038.03745937347,2667.62773895264,690.169250190258,664.707120656967,5397.52145433426,3952.46106004715,3717.72706699371,4725.93501806259,5878.05624485016,3497.20433425903,2768.01411604881,3946.08959460258,6203.98742628098,3307.03573822975,3463.3009057045,6348.63239049911
"5105",0.0395361930377,4.6627196072e-05,Ward No-59,"30264259",,,,Lalbagh,"302642",Dhaka,"3026",Dhaka,"30",Bangladesh,BD,2015/01/01,2018/04/10,,2497.19809436798,2278.00749015808,2441.85693645477,1292.95689582825,334.514101266861,322.173008322716,2616.09312534332,1915.69525241852,1801.92340564728,2290.58582401276,2849.00073242188,1695.03952980042,1341.61258792877,1912.60711574554,3006.97440242767,1602.86783027649,1678.60706806183,3077.08152675629
"5106",0.0269334702127,3.82503611018e-05,Ward No-60,"30264260",,,,Lalbagh,"302642",Dhaka,"3026",Dhaka,"30",Bangladesh,BD,2015/01/01,2018/04/10,,1972.51533508301,1799.37855434418,1928.80182170868,1021.29554176331,264.229814291,254.481692910194,2066.42949390411,1513.1912317276,1423.32382297516,1809.31408691406,2250.40121650696,1338.89716911316,1059.72826004028,1510.75193309784,2375.18325614929,1266.09153747558,1325.91731643677,2430.56026649475
"5107",0.04141401918,3.58663658956e-05,Ward No-61,"30264261",,,,Lalbagh,"302642",Dhaka,"3026",Dhaka,"30",Bangladesh,BD,2015/01/01,2018/04/10,,3230.80525779724,2947.22253990173,3159.20639801025,1672.79155826569,432.78501200676,416.818453073502,3384.62830543518,2478.47306442261,2331.27822685242,2963.49604797363,3685.95763778687,2192.99485588074,1735.74093818665,2474.47774124146,3890.33961486816,2073.74568367004,2171.734998703,3981.04224014282
"5108",0.0572288936909,7.98090224812e-05,Ward No-62,"30264262",,,,Lalbagh,"302642",Dhaka,"3026",Dhaka,"30",Bangladesh,BD,2015/01/01,2018/04/10,,5955.31491756439,5432.58944129944,5823.33734798431,3083.44198656082,797.748809099197,768.317787051201,6238.8556060791,4568.54765129089,4297.22469902039,5462.58623313904,6794.29338645935,4042.32815933228,3199.4760222435,4561.18305778503,7171.02880764008,3822.51719284058,4003.14004516602,7338.22017478943
"5109",0.0166878227349,7.30130510259e-06,Ward No-63 (Part),"30260563",,,,Bangshal,"302605",Dhaka,"3026",Dhaka,"30",Bangladesh,BD,2015/01/01,2018/04/10,,588.137313842773,536.513778686523,575.103424072266,304.515768051147,78.784387588501,75.877827167511,616.139343261719,451.18240737915,424.386989593506,539.476219177246,670.993469238281,399.213817596436,315.975095748901,450.455093383789,708.199249267578,377.505645751953,395.343662261963,724.710807800293
"5110",0.0409029316365,2.86939856931e-05,Ward No-63 (Part),"30260963",,,,Chak Bazar,"302609",Dhaka,"3026",Dhaka,"30",Bangladesh,BD,2015/01/01,2018/04/10,,2772.81789016724,2529.43485641479,2711.36862182617,1435.66263961792,371.434960842133,357.73176574707,2904.83554458618,2127.13361740112,2000.80459976196,2543.40148544312,3163.44953536987,1882.12376785278,1489.68853569031,2123.7046546936,3338.85902786255,1779.77893257141,1863.8776473999,3416.70399856567
"5111",0.0300971622634,2.02615420003e-05,Ward No-64,"30260964",,,,Chak Bazar,"302609",Dhaka,"3026",Dhaka,"30",Bangladesh,BD,2015/01/01,2018/04/10,,2482.72189331055,2264.80194854736,2427.70152664185,1285.46165084839,332.574930667877,320.305377960205,2600.92769622803,1904.59000396728,1791.47770309448,2277.30736160278,2832.48512649536,1685.21341323853,1333.83528900146,1901.51978302002,2989.54301834106,1593.5760383606,1668.87622070312,3059.24374389648
"5112",0.034760210251,4.81201104171e-05,Ward No-65,"30260965",,,,Chak Bazar,"302609",Dhaka,"3026",Dhaka,"30",Bangladesh,BD,2015/01/01,2018/04/10,,2779.23202753067,2535.28602361679,2717.64062166214,1438.98364233971,372.294176220894,358.559278666973,2911.55506277084,2132.05416154861,2005.43291711807,2549.28493690491,3170.76727867126,1886.47754907608,1493.13451194763,2128.61724281311,3346.58255052567,1783.89596843719,1868.189204216,3424.60757732391
"5113",0.0140698115886,7.5959159206e-06,Ward No-66 (Part),"30260566",,,,Bangshal,"302605",Dhaka,"3026",Dhaka,"30",Bangladesh,BD,2015/01/01,2018/04/10,,386.934652328491,352.971612930298,378.359672546387,200.340462684631,51.8321304321289,49.919908285141,405.357147216797,296.832224845886,279.20356464386,354.920588493347,441.445596694946,262.642168998718,207.879544258118,296.353721618652,465.923223495483,248.360391616821,260.096001625061,476.786148071289
"5114",0.0280602605789,2.26350063899e-05,Ward No-66 (Part),"30260966",,,,Chak Bazar,"302609",Dhaka,"3026",Dhaka,"30",Bangladesh,BD,2015/01/01,2018/04/10,,1099.67927742004,1003.1553401947,1075.30893325806,569.373284339905,147.308386564255,141.873797893524,1152.03651618958,843.605622291565,793.504451751709,1008.69440174103,1254.60091590881,746.436500549316,590.799565315247,842.245716094971,1324.16703414917,705.847295761108,739.200231552124,1355.03977394104
"5115",0.0238194728317,1.52600362131e-05,Ward No-67 (part),"30260567",,,,Bangshal,"302605",Dhaka,"3026",Dhaka,"30",Bangladesh,BD,2015/01/01,2018/04/10,,1247.19809341431,1137.72575759888,1219.55855941772,645.753078460693,167.069383144379,160.905762195587,1306.57890701294,956.772899627686,899.950801849365,1144.00786972046,1422.90205383301,846.568822860718,670.053632736206,955.230564117432,1501.80025100708,800.534690856934,838.361824035645,1536.81449127197
"5116",0.0333739595504,2.50576945701e-05,Ward No-67 (Part),"30260967",,,,Chak Bazar,"302609",Dhaka,"3026",Dhaka,"30",Bangladesh,BD,2015/01/01,2018/04/10,,2174.69535446167,1983.81229400635,2126.50126647949,1125.97688293457,291.312994480133,280.565704345703,2278.23557662964,1668.29118347168,1569.21248245239,1994.7661857605,2481.06413269043,1476.13221740723,1168.34889602661,1665.6018409729,2618.63618087769,1395.86410903931,1461.82195091248,2679.68922805786
"5117",0.0254550744863,1.31052829501e-05,Ward No-68 (part),"30260568",,,,Bangshal,"302605",Dhaka,"3026",Dhaka,"30",Bangladesh,BD,2015/01/01,2018/04/10,,1044.96258544922,953.241397857666,1021.80484771728,541.04301071167,139.978768825531,134.814590454102,1094.71468353271,801.630378723145,754.022083282471,958.504844665527,1192.17581176758,709.296112060547,561.403179168701,800.33814239502,1258.28053665161,670.726486206055,702.419883728027,1287.61712646484
"5118",0.0226568228927,1.61614896361e-05,Ward No-68 (Part),"30264068",,,,Kotwali,"302640",Dhaka,"3026",Dhaka,"30",Bangladesh,BD,2015/01/01,2018/04/10,,890.423608779907,812.267018318176,870.690662384033,461.028440952301,119.277382731438,114.876931667328,932.817894935608,683.07767868042,642.51016330719,816.752060890198,1015.86554908752,604.398675918579,478.377560138702,681.976544380188,1072.19407653808,571.533088684082,598.539370536804,1097.19211101532
"5119",0.0275671332296,3.28351639367e-05,Ward No-69,"30260569",,,,Bangshal,"302605",Dhaka,"3026",Dhaka,"30",Bangladesh,BD,2015/01/01,2018/04/10,,3677.26382446289,3354.49339294434,3595.77085876465,1903.9513168335,492.590715885162,474.417765617371,3852.34342956543,2820.96836853027,2653.43296432495,3373.01568603516,4195.31283950806,2496.0404624939,1975.59953689575,2816.42092132568,4427.9379196167,2360.3125,2471.8427658081,4531.17458343506
